algorithm,train_size,test_size,lookback,after_days,epochs,batch_size,train_rmse,test_rmse,time_taken,file_name,stock_param
lstm_time_steps,1200,205,28,7,50,5,51.58,52.3,105,GOOGL,close
lstm_time_steps,1500,271,28,1,50,1,19.61,14.38,648,GOOGL,close
lstm_time_steps,1500,265,28,7,50,5,44.76,73.02,141,GOOGL,close
lstm_time_steps,300,56,3,1,100,4,12.69,28.07,27,GOOGL,close
lstm_time_steps,300,50,3,7,100,5,27.59,67.95,21,GOOGL,close
lstm_time_steps,600,116,3,1,100,4,11.18,22.03,42,GOOGL,close
lstm_time_steps,600,110,3,7,100,5,25.42,51.83,35,GOOGL,close
lstm_time_steps,900,176,3,1,100,4,10.05,16.24,70,GOOGL,close
lstm_time_steps,900,170,3,7,100,5,27.42,51.92,68,GOOGL,close
lstm_time_steps,1200,236,3,1,100,4,21.15,14.75,93,GOOGL,close
lstm_time_steps,1200,230,3,7,100,5,57.39,44.39,86,GOOGL,close
lstm_time_steps,1500,296,3,1,100,4,19.47,13.33,108,GOOGL,close
lstm_time_steps,1500,290,3,7,100,5,51.67,41.81,91,GOOGL,close
lstm_time_steps,300,52,7,1,100,4,13.91,28.1,42,GOOGL,close
lstm_time_steps,300,46,7,7,100,2,28.53,67.48,73,GOOGL,close
lstm_time_steps,600,112,7,1,100,4,10.13,20.65,65,GOOGL,close
lstm_time_steps,600,106,7,7,100,2,25.33,63.07,135,GOOGL,close
lstm_time_steps,900,172,7,1,100,4,10,16.91,137,GOOGL,close
lstm_time_steps,900,166,7,7,100,2,26.68,43.45,274,GOOGL,close
lstm_time_steps,1200,232,7,1,100,4,22.37,15.13,196,GOOGL,close
lstm_time_steps,1200,226,7,7,100,2,51.35,54.11,367,GOOGL,close
lstm_time_steps,1500,292,7,1,100,4,19.9,13.56,229,GOOGL,close
lstm_time_steps,1500,286,7,7,100,2,49.54,42.1,294,GOOGL,close
lstm_time_steps,300,45,14,1,100,5,13.91,32.75,38,GOOGL,close
lstm_time_steps,300,39,14,7,100,3,27.47,101.04,60,GOOGL,close
lstm_time_steps,600,105,14,1,100,5,10.23,19.88,88,GOOGL,close
lstm_time_steps,600,99,14,7,100,9,26.06,56.1,53,GOOGL,close
lstm_time_steps,900,165,14,1,100,5,10.34,19.6,127,GOOGL,close
lstm_time_steps,900,159,14,7,100,3,26.15,49.38,191,GOOGL,close
lstm_time_steps,1200,225,14,1,100,15,22.5,17.4,62,GOOGL,close
lstm_time_steps,1200,219,14,7,100,3,47.56,58.93,258,GOOGL,close
lstm_time_steps,1500,285,14,1,100,15,20.96,15.77,80,GOOGL,close
lstm_time_steps,1500,279,14,7,100,9,48.37,44,128,GOOGL,close
lstm_time_steps,300,31,28,1,100,1,9.87,22.54,289,GOOGL,close
lstm_time_steps,300,25,28,7,100,5,26.93,107.12,64,GOOGL,close
lstm_time_steps,600,91,28,1,100,1,9.31,20.03,586,GOOGL,close
lstm_time_steps,600,85,28,7,100,5,24.13,80.22,172,GOOGL,close
lstm_time_steps,900,151,28,1,100,1,10.39,17.87,1045,GOOGL,close
lstm_time_steps,1200,211,28,1,100,1,21.42,16.66,1219,GOOGL,close
lstm_time_steps,1200,205,28,7,100,5,46.53,57.44,230,GOOGL,close
lstm_time_steps,1500,271,28,1,100,1,19.32,15.84,1382,GOOGL,close
lstm_time_steps,1500,265,28,7,100,5,41.05,57.44,298,GOOGL,close
